transaction_id,customer_id,customer_age,customer_gender,customer_city,product_category,product_subcategory,product_price,quantity,total_amount,discount_applied,payment_method,purchase_date,purchase_hour,purchase_day_of_week,purchase_month,shipping_cost,delivery_days,customer_satisfaction,return_flag,seasonal_multiplier,is_repeat_customer,purchase_month_name,purchase_weekday,time_period,discounted_price,margin,age_group,return_numeric
TXN000001,CUST000655,40,F,Puebla,Deportes,Basketball,1623.67,1,1149.56,29.2,Tarjeta,2024-01-13,20,Saturday,1,0,5,4.4,No,1.3,No,January,Saturday,Noche,1149.55836,1149.55836,35-44,0
TXN000002,CUST000693,29,M,Cancún,Hogar,Muebles,1249.4,3,3748.2,0.0,PayPal,2024-02-14,14,Wednesday,2,0,3,4.4,Sí,0.9,No,February,Wednesday,Tarde,1249.4,1249.4,25-34,1
TXN000003,CUST000239,36,M,Veracruz,Electrónicos,Smartwatches,5064.74,2,10129.48,0.0,Tarjeta,2024-11-08,13,Friday,11,0,5,3.8,No,1.4,No,November,Friday,Tarde,5064.74,5064.74,35-44,0
TXN000004,CUST000007,32,F,León,Ropa,Vestidos,792.89,4,2730.71,13.9,Tarjeta,2024-12-23,5,Monday,12,0,15,3.7,No,1.1,No,December,Monday,Madrugada,682.67829,682.67829,25-34,0
TXN000005,CUST000095,18,F,Aguascalientes,Ropa,Vestidos,586.82,3,1135.5,35.5,Transferencia,2024-02-19,18,Monday,2,0,15,3.2,Sí,0.9,No,February,Monday,Noche,378.49890000000005,378.49890000000005,18-24,1
TXN000006,CUST000471,24,F,Cancún,Hogar,Jardinería,901.17,3,2087.11,22.8,PayPal,2024-03-04,19,Monday,3,0,7,4.3,No,1.2,No,March,Monday,Noche,695.7032399999999,695.7032399999999,18-24,0
TXN000007,CUST000634,34,F,Mexicali,Ropa,Camisetas,295.68,3,887.04,0.0,Tarjeta,2024-10-25,19,Friday,10,107,4,5.0,No,1.2,No,October,Friday,Noche,295.68,188.68,25-34,0
TXN000008,CUST000104,32,M,Aguascalientes,Belleza,Fragancias,993.91,4,3975.64,0.0,Tarjeta,2024-05-22,7,Wednesday,5,0,8,3.9,Sí,1.2,No,May,Wednesday,Mañana,993.91,993.91,25-34,1
TXN000009,CUST000364,50,F,Juárez,Electrónicos,Smartwatches,3549.82,3,10649.46,0.0,Efectivo,2024-12-13,12,Friday,12,0,6,4.0,No,1.6,No,December,Friday,Tarde,3549.82,3549.82,45-54,0
TXN000010,CUST000168,18,M,Saltillo,Electrónicos,Audífonos,2719.02,2,5438.04,0.0,Tarjeta,2024-07-13,23,Saturday,7,0,7,4.2,No,1.0,No,July,Saturday,Noche,2719.02,2719.02,18-24,0
TXN000011,CUST000225,48,M,Mérida,Libros,Académicos,106.39,2,200.01,6.0,PayPal,2024-02-02,15,Friday,2,78,6,4.7,No,1.0,No,February,Friday,Tarde,100.00659999999999,22.00659999999999,45-54,0
TXN000012,CUST000581,35,M,Mérida,Deportes,Running,1546.08,1,1546.08,0.0,Transferencia,2024-04-18,21,Thursday,4,0,13,3.1,No,1.2,No,April,Thursday,Noche,1546.08,1546.08,35-44,0
TXN000013,CUST000272,44,F,Tijuana,Deportes,Natación,1737.16,2,2671.75,23.1,Transferencia,2024-05-06,21,Monday,5,0,12,2.8,No,1.2,No,May,Monday,Noche,1335.87604,1335.87604,35-44,0
TXN000014,CUST000598,42,M,Aguascalientes,Ropa,Pantalones,507.83,2,1015.66,0.0,PayPal,2024-07-04,17,Thursday,7,0,5,5.0,No,0.7,No,July,Thursday,Tarde,507.83,507.83,35-44,0
TXN000015,CUST000094,43,M,Guadalajara,Hogar,Jardinería,2275.71,2,4551.42,0.0,Efectivo,2024-03-01,10,Friday,3,0,4,3.5,No,1.2,No,March,Friday,Mañana,2275.71,2275.71,35-44,0
TXN000016,CUST000480,45,F,Veracruz,Libros,Técnicos,511.58,1,511.58,0.0,Tarjeta,2024-05-08,16,Wednesday,5,71,13,3.2,No,1.0,No,May,Wednesday,Tarde,511.58,440.58,45-54,0
TXN000017,CUST000699,32,M,Cancún,Belleza,Cabello,600.1,3,1460.04,18.9,PayPal,2024-05-16,21,Thursday,5,0,9,5.0,No,1.2,No,May,Thursday,Noche,486.6811000000001,486.6811000000001,25-34,0
TXN000018,CUST000004,24,F,Querétaro,Belleza,Maquillaje,795.1,2,1590.2,0.0,Transferencia,2024-09-13,20,Friday,9,0,4,4.3,No,1.0,No,September,Friday,Noche,795.1,795.1,18-24,0
TXN000019,CUST000306,41,F,Veracruz,Deportes,Fútbol,456.75,2,761.86,16.6,Tarjeta,2024-11-07,14,Thursday,11,90,11,5.0,No,0.9,No,November,Thursday,Tarde,380.92949999999996,290.92949999999996,35-44,0
TXN000020,CUST000544,30,M,Ciudad de México,Libros,Académicos,264.65,1,264.65,0.0,PayPal,2024-11-02,5,Saturday,11,50,1,4.8,No,1.0,No,November,Saturday,Madrugada,264.65,214.64999999999998,25-34,0
TXN000021,CUST000315,60,F,Torreón,Belleza,Skincare,185.03,1,185.03,0.0,Transferencia,2024-02-02,22,Friday,2,78,15,3.8,No,1.2,No,February,Friday,Noche,185.03,107.03,55+,0
TXN000022,CUST000129,25,M,Tijuana,Electrónicos,Smartwatches,2415.36,4,8144.59,15.7,Transferencia,2024-12-03,12,Tuesday,12,0,6,5.0,No,1.6,No,December,Tuesday,Tarde,2036.14848,2036.14848,25-34,0
